               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.028958,            0.023154,                   0,             0.54199,             0.59494,             0.55458,             0.37334,            0.032748,            0.013691,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.027555,            0.025939,                   0,             0.48628,             0.68299,             0.48433,             0.30197,            0.032541,            0.015318,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.028304,             0.02479,                   0,             0.43624,             0.52895,             0.43948,             0.28603,            0.030484,            0.016206,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,             0.02797,            0.023399,                   0,             0.45393,             0.61032,             0.45503,             0.27678,            0.033647,            0.014591,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.027695,            0.022706,                   0,             0.55229,             0.60759,             0.47293,              0.2796,            0.034272,            0.013873,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.027822,            0.022076,                   0,             0.35475,             0.58228,             0.35067,             0.21496,            0.033629,            0.016047,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.027741,            0.022143,                   0,             0.50933,             0.55696,             0.49478,             0.29541,            0.035156,            0.014604,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.028132,            0.023576,                   0,             0.68886,             0.60759,             0.63987,             0.39345,            0.033843,            0.012963,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.026614,             0.02301,                   0,             0.52854,             0.64557,              0.5449,              0.3404,            0.029136,            0.012741,                   0,            0.009109,            0.009109,            0.009109
                  47,              0.0279,            0.022298,                   0,             0.47505,             0.59494,             0.42872,             0.25008,            0.029311,            0.014606,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.026398,            0.021301,                   0,             0.61632,             0.51899,             0.52589,             0.31597,            0.029714,            0.015733,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,             0.02748,            0.021672,                   0,             0.58751,             0.58228,             0.56767,             0.34938,            0.035448,            0.014923,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.025275,             0.02079,                   0,             0.57862,             0.46932,             0.45347,             0.24674,            0.031111,            0.016729,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,             0.02634,            0.021556,                   0,              0.6522,             0.62025,             0.56102,             0.33068,            0.030196,            0.016289,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.026634,             0.02198,                   0,             0.49052,             0.58228,             0.48776,             0.31501,            0.029123,            0.014605,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.027038,            0.021852,                   0,             0.67772,             0.63291,             0.64272,             0.39743,            0.030824,            0.014871,                   0,           0.0089704,           0.0089704,           0.0089704
